
[2025-10-24 19:42:18] Order status updated | Context: {"order_id":67,"old_status":"pending","new_status":"completed","user_id":29,"course_id":144}
[2025-10-24 19:42:18] Payment status updated | Context: {"payment_id":67,"old_status":"pending","new_status":"completed","user_id":29,"order_id":67}
[2025-10-27 14:48:07] SMS send error | Context: {"error":"SSL certificate problem: unable to get local issuer certificate"}
[2025-11-05 20:33:58] Order status updated | Context: {"order_id":90,"old_status":"pending","new_status":"completed","user_id":37,"course_id":68}
[2025-11-05 20:33:58] SMS send failed | Context: {"http_code":401,"response":"{\"code\":20003,\"message\":\"Authenticate\",\"more_info\":\"https:\/\/www.twilio.com\/docs\/errors\/20003\",\"status\":401}"}
[2025-11-05 20:33:58] Payment status updated | Context: {"payment_id":88,"old_status":"pending","new_status":"completed","user_id":37,"order_id":90}
[2025-11-06 12:08:15] SMS send failed | Context: {"http_code":401,"response":"{\"code\":20003,\"message\":\"Authenticate\",\"more_info\":\"https:\/\/www.twilio.com\/docs\/errors\/20003\",\"status\":401}"}
[2025-11-06 12:30:37] SMS send failed | Context: {"http_code":401,"response":"{\"code\":20003,\"message\":\"Authenticate\",\"more_info\":\"https:\/\/www.twilio.com\/docs\/errors\/20003\",\"status\":401}"}
[2025-11-11 21:25:46] SMS send failed | Context: {"http_code":401,"response":"{\"code\":20003,\"message\":\"Authenticate\",\"more_info\":\"https:\/\/www.twilio.com\/docs\/errors\/20003\",\"status\":401}"}
[2025-11-21 12:52:31] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 13:05:47] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 13:12:33] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 14:58:03] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 15:03:44] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 15:08:51] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 15:12:45] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 15:19:10] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 15:37:06] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-21 17:20:58] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-22 09:28:50] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 1005 Can't create table `akdo_akdownloads`.`course_category_links` (errno: 150 \"Foreign key constraint is incorrectly formed\")"}
[2025-11-25 13:32:55] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 3780 Referencing column 'course_id' and referenced column 'id' in foreign key constraint 'fk_pcl_course' are incompatible."}
[2025-11-26 12:42:58] Add FK to course_category_links failed | Context: {"error":"SQLSTATE[HY000]: General error: 3780 Referencing column 'course_id' and referenced column 'id' in foreign key constraint 'fk_pcl_course' are incompatible."}
[2025-11-27 07:58:26] Order status updated | Context: {"order_id":92,"old_status":"pending","new_status":"completed","user_id":4,"course_id":1}
[2025-11-27 07:58:26] SMS send error | Context: {"error":"SSL certificate problem: unable to get local issuer certificate"}
[2025-11-27 07:58:26] Payment status updated | Context: {"payment_id":90,"old_status":"pending","new_status":"completed","user_id":4,"order_id":92}
[2025-11-27 07:58:36] Order status updated | Context: {"order_id":91,"old_status":"pending","new_status":"completed","user_id":4,"course_id":1}
[2025-11-27 07:58:38] SMS send error | Context: {"error":"SSL certificate problem: unable to get local issuer certificate"}
[2025-11-27 07:58:38] Payment status updated | Context: {"payment_id":89,"old_status":"pending","new_status":"completed","user_id":4,"order_id":91}
[2025-11-27 07:58:47] Order status updated | Context: {"order_id":89,"old_status":"pending","new_status":"failed","user_id":35,"course_id":31}
[2025-11-27 07:58:47] Payment status updated | Context: {"payment_id":87,"old_status":"pending","new_status":"failed","user_id":35,"order_id":89}
[2025-11-27 08:03:39] Order status updated | Context: {"order_id":93,"old_status":"pending","new_status":"completed","user_id":4,"course_id":1}
[2025-11-27 08:03:40] SMS send error | Context: {"error":"SSL certificate problem: unable to get local issuer certificate"}
[2025-11-27 08:03:40] Payment status updated | Context: {"payment_id":91,"old_status":"pending","new_status":"completed","user_id":4,"order_id":93}
